Stationscode,Stationsname,Stationsumgebung,Art der Station,Gemeinde,Jahr,NO2
DENW384,Bochum Dorstener Straße,städtisches Gebiet,Verkehr,Bochum,2020,kein Wert verfügbar
DENW385,Düsseldorf Bernburger Straße,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW393,Düsseldorf Kaiserstraße 31,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW399,Essen Kruppstraße 117,städtisches Gebiet,Verkehr,Essen,2020,kein Wert verfügbar
DENW400,Köln Hahnenstraße 45,städtisches Gebiet,Verkehr,Köln,2020,kein Wert verfügbar
DENW401,Köln Luxemburger Straße 78,städtisches Gebiet,Verkehr,Köln,2020,kein Wert verfügbar
DENW403,Hagen Eckeseyer Str. 7,städtisches Gebiet,Verkehr,Hagen,2020,kein Wert verfügbar
DENW404,Hagen Bergischer Ring 32,städtisches Gebiet,Verkehr,Hagen,2020,kein Wert verfügbar
DENW406,Bochum Dorstener Straße 229,städtisches Gebiet,Verkehr,Bochum,2020,kein Wert verfügbar
DENW407,Bochum Herner Straße 226,städtisches Gebiet,Verkehr,Bochum,2020,kein Wert verfügbar
DENW408,Dortmund Mallinckrodtstraße 192,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DENW409,Dortmund Märkische Straße 57,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DENW410,Dortmund Ruhrallee 61,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DENW411,Dortmund Borsigstraße 53,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DENW412,Bielefeld August-Bebel-Straße 79,städtisches Gebiet,Verkehr,Bielefeld,2020,kein Wert verfügbar
DENW413,Bielefeld Kreuzstraße 7,städtisches Gebiet,Verkehr,Bielefeld,2020,kein Wert verfügbar
DENW414,Bielefeld Stapenhorststraße 14,städtisches Gebiet,Verkehr,Bielefeld,2020,kein Wert verfügbar
DENW415,Oberhausen Duisburger Straße,städtisches Gebiet,Verkehr,Oberhausen,2020,kein Wert verfügbar
DENW416,Duisburg Moerser Straße 245,städtisches Gebiet,Verkehr,Duisburg,2020,kein Wert verfügbar
DENW417,Köln Subbelrather Straße 262,städtisches Gebiet,Verkehr,Köln,2020,kein Wert verfügbar
DENW418,Duisburg Asterlager Straße 122,städtisches Gebiet,Verkehr,Duisburg,2020,kein Wert verfügbar
DENW419,Düsseldorf Herzogstraße 37,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW420,Düsseldorf Südring 51,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW421,Düsseldorf Uerdinger Straße 108,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW422,Köln Aachener Straße 491,städtisches Gebiet,Verkehr,Köln,2020,kein Wert verfügbar
DENW423,Duisburg Karl-Jarres-Straße 69,städtisches Gebiet,Verkehr,Duisburg,2020,kein Wert verfügbar
DENW427,Essen Altenessener Straße 255,städtisches Gebiet,Verkehr,Essen,2020,kein Wert verfügbar
DENW428,Duisburg Duisburger Straße 66,städtisches Gebiet,Verkehr,Duisburg,2020,kein Wert verfügbar
DENW429,Bielefeld-Mitte,städtisches Gebiet,Verkehr,Bielefeld,2020,kein Wert verfügbar
DENW430,Düsseldorf Merowingerstraße,städtisches Gebiet,Verkehr,Düsseldorf,2020,kein Wert verfügbar
DENW436,Düren Euskirchener Straße 18/20,städtisches Gebiet,Verkehr,Düren,2020,kein Wert verfügbar
DENW438,Dortmund Bärenbruch,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DENW439,Dortmund Bornstraße,städtisches Gebiet,Verkehr,Dortmund,2020,kein Wert verfügbar
DERP010,Mainz-Parcusstraße,städtisches Gebiet,Verkehr,Mainz,2020,34
DERP011,Mainz-Rheinallee,städtisches Gebiet,Verkehr,Mainz,2020,30
DERP012,Mainz-Große Langgasse,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP020,Trier-Ostallee,städtisches Gebiet,Verkehr,Trier,2020,22
DERP023,Worms-Hagenstraße,städtisches Gebiet,Verkehr,Worms,2020,22
DERP024,Koblenz-Friedrich-Ebert-Ring,städtisches Gebiet,Verkehr,Koblenz,2020,28
DERP026,Frankenthal-Europaring,städtisches Gebiet,Verkehr,Frankenthal (Pfalz),2020,24
DERP036,Trier Kaiserstraße,städtisches Gebiet,Verkehr,Trier,2020,kein Wert verfügbar
DERP041,Ludwigshafen-Heinigstraße,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2020,32
DERP045,Koblenz-Hohenfelder Straße,städtisches Gebiet,Verkehr,Koblenz,2020,33
DERP046,Neuwied-Hermannstraße,städtisches Gebiet,Verkehr,Neuwied,2020,21
DERP052,Mayen,städtisches Gebiet,Verkehr,Mayen,2020,kein Wert verfügbar
DERP067,Koblenz-Bahnhofstr.,städtisches Gebiet,Verkehr,Koblenz,2020,kein Wert verfügbar
DERP068,Koblenz-Hohenzollernstr.,städtisches Gebiet,Verkehr,Koblenz,2020,kein Wert verfügbar
DERP070,Koblenz-Trierer Str.,städtisches Gebiet,Verkehr,Koblenz,2020,kein Wert verfügbar
DERP071,Koblenz-Rübenach,städtisches Gebiet,Verkehr,Koblenz,2020,kein Wert verfügbar
DERP072,Ludwigshafen-Heinigstr./Wredestr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2020,kein Wert verfügbar
DERP073,Ludwigshafen-Kaiser-Wilhelmstr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2020,kein Wert verfügbar
DERP074,Ludwigshafen-Heinigstr./Dörrhorststr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2020,kein Wert verfügbar
DERP075,Speyer-Bahnhofstraße,städtisches Gebiet,Verkehr,Speyer,2020,kein Wert verfügbar
DERP079,Mainz-Kaiserstr./Rheinallee,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP080,Mainz-Leibnizstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP081,Mainz-Boppstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP082,Mainz-Binger Str.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP083,Mainz-Bahnhofstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP084,Mainz-Hintere Bleiche,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP085,Mainz-Neubrunnenplatz,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP086,Mainz-Große Bleiche,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP087,Mainz-Bauhofstr. (FM),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP089,Mainz-Große Bleiche (Landtag),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP090,Mainz-Feldbergplatz,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP092,Mainz-Rheinallee/Parkh.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP094,Mainz-Rheinstraße 24,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP095,Mainz-Rheinallee (Stadtbibliothek),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP096,Mainz-Rheinstr. (DB Cargo),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP097,Mainz-Windmühlenstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP098,Mainz-Fichteplatz,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP099,Mainz-Schillerstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP100,Mainz-Rheinallee (LfU),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP101,Mainz-Rheinstr. (Stadtmauer),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP102,Mainz-Rheinstr. (Rheingoldhalle),städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DERP103,Wörth-Maximiliansau (B10),vorstädtisches Gebiet,Verkehr,Wörth am Rhein,2020,kein Wert verfügbar
DERP105,Wörth-Maximiliansau (Rheinstr.),städtisches Gebiet,Verkehr,Wörth am Rhein,2020,kein Wert verfügbar
DERP106,Koblenz-Charlottenstr.,städtisches Gebiet,Verkehr,Koblenz,2020,kein Wert verfügbar
DERP107,Mainz-Rheinstr./Dagobertstr.,städtisches Gebiet,Verkehr,Mainz,2020,kein Wert verfügbar
DESH022,Flensburg,städtisches Gebiet,Verkehr,Flensburg,2020,24
DESH025,Itzehoe Lindenstr.,städtisches Gebiet,Verkehr,Itzehoe,2020,27
DESH027,Kiel-Bahnhofstr. Verk.,städtisches Gebiet,Verkehr,Kiel,2020,31
DESH028,Ratzeburg,städtisches Gebiet,Verkehr,Ratzeburg,2020,kein Wert verfügbar
DESH030,Norderstedt,städtisches Gebiet,Verkehr,Norderstedt,2020,31
DESH052,Kiel-Theodor-Heuss-Ring,städtisches Gebiet,Verkehr,Kiel,2020,34
DESH053,Lübeck Moislinger Allee,städtisches Gebiet,Verkehr,Lübeck,2020,24
DESH059,Elmshorn-Holstenstraße,städtisches Gebiet,Verkehr,Elmshorn,2020,27
DESH060,Rendsburg-Materialhofstraße,städtisches Gebiet,Verkehr,Rendsburg,2020,30
DESH063,Neumünster-Feldstraße,städtisches Gebiet,Verkehr,Neumünster,2020,kein Wert verfügbar
DESL020,Saarbrücken-Verkehr,städtisches Gebiet,Verkehr,Saarbrücken,2020,27
DESL030,Ottweiler,städtisches Gebiet,Verkehr,Ottweiler,2020,25
DESN006,Borna,städtisches Gebiet,Verkehr,Borna,2020,15
DESN020,Görlitz,städtisches Gebiet,Verkehr,Görlitz,2020,18
DESN025,Leipzig-Mitte,städtisches Gebiet,Verkehr,Leipzig,2020,28
DESN061,Dresden-Nord,städtisches Gebiet,Verkehr,Dresden,2020,22
DESN075,Plauen-Süd,städtisches Gebiet,Verkehr,Plauen,2020,17
DESN077,Leipzig Lützner Str. ,städtisches Gebiet,Verkehr,Leipzig,2020,28
DESN083,Chemnitz-Leipziger Str.,städtisches Gebiet,Verkehr,Chemnitz,2020,28
DESN084,Dresden-Bergstr.,städtisches Gebiet,Verkehr,Dresden,2020,29
DESN091,Zwickau-Werdauer Str.,städtisches Gebiet,Verkehr,Zwickau,2020,18
DEST075,Halle/Merseburger Strasse,städtisches Gebiet,Verkehr,Halle (Saale),2020,kein Wert verfügbar
DEST091,Dessau Albrechtsplatz,städtisches Gebiet,Verkehr,Dessau-Roßlau,2020,kein Wert verfügbar
DEST092,Wittenberg/Dessauer Strasse,städtisches Gebiet,Verkehr,Wittenberg,2020,21
DEST095,Aschersleben,städtisches Gebiet,Verkehr,Aschersleben,2020,20
DEST101,Halberstadt/Friedenstrasse,städtisches Gebiet,Verkehr,Halberstadt,2020,24
DEST102,Halle/Paracelsusstr.,städtisches Gebiet,Verkehr,Halle (Saale),2020,31
DEST103,Magdeburg Schleinufer,städtisches Gebiet,Verkehr,Magdeburg,2020,24
DEST108,Weißenfels/Am Krug,städtisches Gebiet,Verkehr,Weißenfels,2020,13
DEST112,Magdeburg/Guericke-Stra.,städtisches Gebiet,Verkehr,Magdeburg,2020,20
DEST133,Halle/Riebeckplatz,städtisches Gebiet,Verkehr,Halle (Saale),2020,18
DEST134,Dessau/Roßlau,städtisches Gebiet,Verkehr,Dessau-Roßlau,2020,kein Wert verfügbar
DEST144,Magdeburg City-Tunnel,städtisches Gebiet,Verkehr,Magdeburg,2020,kein Wert verfügbar
DETH043,Erfurt Bergstr.,städtisches Gebiet,Verkehr,Erfurt,2020,23
DETH072,Suhl F.-König-Str,städtisches Gebiet,Verkehr,Suhl,2020,19
DETH075,Jena Westbahnhofstr.,städtisches Gebiet,Verkehr,Jena,2020,22
DETH081,Erfurt Heinrichstr,städtisches Gebiet,Verkehr,Erfurt,2020,23
DETH082,Jena Camburger Str.,städtisches Gebiet,Verkehr,Jena,2020,kein Wert verfügbar
DETH083,Weimar Steubenstr.,städtisches Gebiet,Verkehr,Weimar,2020,18
DETH091,Mühlhausen Wanfrieder Str,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2020,20
DETH094,Mühlhausen Kiliansgr.,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2020,kein Wert verfügbar
DETH097,Gera Str.des Friedens,städtisches Gebiet,Verkehr,Gera,2020,23
DETH098,Gera Theaterstr. PS,städtisches Gebiet,Verkehr,Gera,2020,23
DETH099,Erfurt Walkmühlstr.,städtisches Gebiet,Verkehr,Erfurt,2020,kein Wert verfügbar
DETH100,Mühlhausen Petristeinweg,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2020,25
DETH101,Weimar Jenaer Str.,städtisches Gebiet,Verkehr,Weimar,2020,25
DETH102,Suhl Dr.Th.-Neubauer-Str.,städtisches Gebiet,Verkehr,Suhl,2020,24
DETH128,Saalfeld Friedens,städtisches Gebiet,Verkehr,Saalfeld/Saale,2020,24
DETH131,Nordhausen Grimmelallee,städtisches Gebiet,Verkehr,Nordhausen,2020,16
DETH132,Erfurt Schillerstr.,städtisches Gebiet,Verkehr,Erfurt,2020,23
DEBB044,"Cottbus, Bahnhofstr.",städtisches Gebiet,Verkehr,Cottbus,2021,21
DEBB045,"Frankfurt (Oder), Leipziger Str.",städtisches Gebiet,Verkehr,Frankfurt (Oder),2021,29
DEBB049,"Brandenburg, Neuendorfer Str.",städtisches Gebiet,Verkehr,Brandenburg an der Havel,2021,21
DEBB054,"Potsdam, Zeppelinstr.",städtisches Gebiet,Verkehr,Potsdam,2021,24
DEBB060,"Eberswalde, Breite Straße",städtisches Gebiet,Verkehr,Eberswalde,2021,23
DEBB068,"Bernau, Lohmühlenstr.",städtisches Gebiet,Verkehr,Bernau bei Berlin,2021,19
DEBB073,"Potsdam, Großbeerenstr.",städtisches Gebiet,Verkehr,Potsdam,2021,25
DEBB087,"Cottbus, W.-Külz-Str.",städtisches Gebiet,Verkehr,Cottbus,2021,kein Wert verfügbar
DEBB126,"Oranienburg, Bernauer Str.",städtisches Gebiet,Verkehr,Oranienburg,2021,kein Wert verfügbar
DEBE061,Berlin Schildhornstraße,städtisches Gebiet,Verkehr,Berlin,2021,30
DEBE063,Berlin Silbersteinstraße,städtisches Gebiet,Verkehr,Berlin,2021,35
DEBE064,Berlin Karl-Marx-Straße,städtisches Gebiet,Verkehr,Berlin,2021,kein Wert verfügbar
DEBE065,Berlin Frankfurter Allee,städtisches Gebiet,Verkehr,Berlin,2021,28
DEBE067,Berlin Hardenbergplatz,städtisches Gebiet,Verkehr,Berlin,2021,23
DEBE069,Berlin Mariendorfer Damm,städtisches Gebiet,Verkehr,Berlin,2021,33
DEBE082,Berlin Leipziger Straße,städtisches Gebiet,Verkehr,Berlin,2021,31
DEBE083,Berlin Kantstraße,städtisches Gebiet,Verkehr,Berlin,2021,24
DEBE084,Berlin Hauptstraße,städtisches Gebiet,Verkehr,Berlin,2021,31
DEBE085,Berlin Herrmannstraße,städtisches Gebiet,Verkehr,Berlin,2021,34
DEBE086,Berlin Sonnenallee,städtisches Gebiet,Verkehr,Berlin,2021,35
DEBE092,Berlin Spandauer Damm,städtisches Gebiet,Verkehr,Berlin,2021,38
DEBE096,Berlin Landsberger Allee,städtisches Gebiet,Verkehr,Berlin,2021,33
DEBE097,Berlin Herrmannplatz,städtisches Gebiet,Verkehr,Berlin,2021,36
DEBE121,Berlin Mehringdamm,städtisches Gebiet,Verkehr,Berlin,2021,40
DEBE125,Berlin Leipziger Straße (MC),städtisches Gebiet,Verkehr,Berlin,2021,29
DEBE126,Berlin Karl-Marx-Straße II,städtisches Gebiet,Verkehr,Berlin,2021,kein Wert verfügbar
DEBE127,Berlin Silbersteinstraße 5,städtisches Gebiet,Verkehr,Berlin,2021,kein Wert verfügbar
DEBW080,Karlsruhe Reinhold-Frank-Straße,städtisches Gebiet,Verkehr,Karlsruhe,2021,29
DEBW098,Mannheim Friedrichsring,städtisches Gebiet,Verkehr,Mannheim,2021,32
DEBW099,Stuttgart Arnulf-Klett-Platz,städtisches Gebiet,Verkehr,Stuttgart,2021,30
DEBW115,Mannheim Luisenring,städtisches Gebiet,Verkehr,Mannheim,2021,kein Wert verfügbar
DEBW116,Stuttgart Hohenheimer Straße,städtisches Gebiet,Verkehr,Stuttgart,2021,32
DEBW117,Ludwigsburg Friedrichstraße,städtisches Gebiet,Verkehr,Ludwigsburg,2021,34
DEBW118,Stuttgart Am Neckartor,städtisches Gebiet,Verkehr,Stuttgart,2021,35
DEBW120,Leonberg Grabenstraße,städtisches Gebiet,Verkehr,Leonberg,2021,27
DEBW121,Pleidelsheim Beihinger Straße,städtisches Gebiet,Verkehr,Pleidelsheim,2021,31
DEBW122,Freiburg Schwarzwaldstraße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2021,30
DEBW125,Pfinztal Karlsruher Straße,vorstädtisches Gebiet,Verkehr,Pfinztal,2021,22
DEBW127,Freiburg Zähringer Straße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2021,kein Wert verfügbar
DEBW128,Mühlacker Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Mühlacker,2021,34
DEBW130,Pforzheim Jahnstraße,städtisches Gebiet,Verkehr,Pforzheim,2021,kein Wert verfügbar
DEBW133,Ilsfeld König-Wilhelm-Straße,vorstädtisches Gebiet,Verkehr,Ilsfeld,2021,kein Wert verfügbar
DEBW134,Stuttgart Waiblinger Straße,städtisches Gebiet,Verkehr,Stuttgart,2021,kein Wert verfügbar
DEBW135,Herrenberg Hindenburger Straße,städtisches Gebiet,Verkehr,Herrenberg,2021,30
DEBW136,Tübingen Mühlstraße,städtisches Gebiet,Verkehr,Tübingen,2021,31
DEBW137,Tübingen Jesinger Hauptstraße,ländlich stadtnah,Verkehr,Tübingen,2021,kein Wert verfügbar
DEBW138,Ulm Zinglerstraße,städtisches Gebiet,Verkehr,Ulm,2021,kein Wert verfügbar
DEBW142,Markgröningen Grabenstraße,vorstädtisches Gebiet,Verkehr,Markgröningen,2021,kein Wert verfügbar
DEBW144,Walzbachtal Bahnhofstraße,vorstädtisches Gebiet,Verkehr,Walzbachtal,2021,kein Wert verfügbar
DEBW145,Heidenheim Wilhelmstraße,vorstädtisches Gebiet,Verkehr,Heidenheim an der Brenz,2021,kein Wert verfügbar
DEBW147,Reutlingen Lederstraße-Ost,städtisches Gebiet,Verkehr,Reutlingen,2021,32
DEBW148,Ingersheim Tiefengasse,vorstädtisches Gebiet,Verkehr,Ingersheim,2021,kein Wert verfügbar
DEBW151,Heidelberg Mittermaierstraße,städtisches Gebiet,Verkehr,Heidelberg,2021,27
DEBW152,Heilbronn Weinsberger Straße-Ost,städtisches Gebiet,Verkehr,Heilbronn,2021,29
DEBW153,Ulm Karlstraße,städtisches Gebiet,Verkehr,Ulm,2021,kein Wert verfügbar
DEBW154,Freiberg Benninger Straße,vorstädtisches Gebiet,Verkehr,Freiberg am Neckar,2021,kein Wert verfügbar
DEBW155,Schwäbisch Gmünd Remsstraße,städtisches Gebiet,Verkehr,Schwäbisch Gmünd,2021,kein Wert verfügbar
DEBW156,Schramberg Oberndorfer Straße,städtisches Gebiet,Verkehr,Schramberg,2021,24
DEBW157,Wendlingen Stuttgarter Straße,städtisches Gebiet,Verkehr,Wendlingen am Neckar,2021,kein Wert verfügbar
DEBW195,Hemmingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Hemmingen,2021,kein Wert verfügbar
DEBW198,Mögglingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Mögglingen,2021,kein Wert verfügbar
DEBW210,Weil am Rhein Freiburger Straße,städtisches Gebiet,Verkehr,Weil am Rhein,2021,kein Wert verfügbar
DEBW211,Remseck Hauptstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2021,kein Wert verfügbar
DEBW212,Remseck Remstalstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2021,kein Wert verfügbar
DEBW213,Balingen Schömberger Straße,vorstädtisches Gebiet,Verkehr,Balingen,2021,21
DEBW214,Bietigheim-Bissingen Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Bietigheim-Bissingen,2021,kein Wert verfügbar
DEBW219,Backnang Eugen-Adolff-Straße,städtisches Gebiet,Verkehr,Backnang,2021,35
DEBW220,Esslingen Grabbrunnenstraße,städtisches Gebiet,Verkehr,Esslingen am Neckar,2021,kein Wert verfügbar
DEBW222,Kuchen Hauptstraße,ländliches Gebiet,Verkehr,Kuchen,2021,kein Wert verfügbar
DEBW223,Leinfelden-Echterdingen Hauptstraße,städtisches Gebiet,Verkehr,Leinfelden-Echterdingen,2021,kein Wert verfügbar
DEBW225,Steinheim Ludwigsburger Straße,städtisches Gebiet,Verkehr,Steinheim an der Murr,2021,kein Wert verfügbar
DEBW226,Friedrichshafen Maybachstraße,städtisches Gebiet,Verkehr,Friedrichshafen,2021,kein Wert verfügbar
DEBW227,Lichtenstein Wilhelmstraße,vorstädtisches Gebiet,Verkehr,Lichtenstein,2021,kein Wert verfügbar
DEBW228,Ravensburg Schussenstraße,städtisches Gebiet,Verkehr,Ravensburg,2021,kein Wert verfügbar
DEBW229,Marbach Schillerstraße,städtisches Gebiet,Verkehr,Marbach am Neckar,2021,kein Wert verfügbar
DEBW231,Östringen Hauptstraße,städtisches Gebiet,Verkehr,Östringen,2021,kein Wert verfügbar
DEBW232,Rastatt Kapellenstraße,städtisches Gebiet,Verkehr,Rastatt,2021,kein Wert verfügbar
DEBW233,Sindelfingen Hanns-Martin-Schleyer-Straße,städtisches Gebiet,Verkehr,Sindelfingen,2021,kein Wert verfügbar
DEBW234,Heilbronn Frankenbacher Straße,vorstädtisches Gebiet,Verkehr,Heilbronn,2021,29
DEBW235,Heilbronn Mannheimer Straße,städtisches Gebiet,Verkehr,Heilbronn,2021,30
DEBW236,Heilbronn Speyerer Straße,städtisches Gebiet,Verkehr,Heilbronn,2021,23
DEBW237,Heilbronn Südstraße 2,städtisches Gebiet,Verkehr,Heilbronn,2021,25
DEBW238,Heilbronn Südstraße 33,städtisches Gebiet,Verkehr,Heilbronn,2021,30
DEBW239,Heilbronn Wilhelmstraße,städtisches Gebiet,Verkehr,Heilbronn,2021,28
DEBW240,Heilbronn Wollhausstraße,städtisches Gebiet,Verkehr,Heilbronn,2021,24
DEBW241,Ludwigsburg Schlossstraße,städtisches Gebiet,Verkehr,Ludwigsburg,2021,43
DEBW242,Stuttgart Pragstraße,städtisches Gebiet,Verkehr,Stuttgart,2021,39
DEBW243,Stuttgart Talstraße,städtisches Gebiet,Verkehr,Stuttgart,2021,38
DEBW245,Pforzheim Luisenstraße,städtisches Gebiet,Verkehr,Pforzheim,2021,38
DEBW246,Pforzheim St.-Georgen-Steige,städtisches Gebiet,Verkehr,Pforzheim,2021,38
DEBW249,Stuttgart Hauptstätter Straße,städtisches Gebiet,Verkehr,Stuttgart,2021,kein Wert verfügbar
DEBY001,Ansbach/Residenzstraße,städtisches Gebiet,Verkehr,Ansbach,2021,22
DEBY006,Augsburg/Königsplatz,städtisches Gebiet,Verkehr,Augsburg,2021,22
DEBY021,Ingolstadt/Rechbergstraße,städtisches Gebiet,Verkehr,Ingolstadt,2021,18
DEBY028,Kelheim/Regensburger Straße,städtisches Gebiet,Verkehr,Kelheim,2021,15
DEBY033,Landshut/Podewilsstraße,städtisches Gebiet,Verkehr,Landshut,2021,20
DEBY035,Lindau (Bodensee)/Friedrichshafener Straße,städtisches Gebiet,Verkehr,Lindau (Bodensee),2021,17
DEBY037,München/Stachus,städtisches Gebiet,Verkehr,München,2021,30
DEBY053,Nürnberg/Bahnhof,städtisches Gebiet,Verkehr,Nürnberg,2021,26
DEBY063,Regensburg/Rathaus,städtisches Gebiet,Verkehr,Regensburg,2021,28
DEBY110,Augsburg/Karlstraße,städtisches Gebiet,Verkehr,Augsburg,2021,31
DEBY111,Bayreuth/Hohenzollernring,städtisches Gebiet,Verkehr,Bayreuth,2021,21
DEBY115,München/Landshuter Allee,städtisches Gebiet,Verkehr,München,2021,51
DEBY119,Würzburg/Stadtring Süd,städtisches Gebiet,Verkehr,Würzburg,2021,26
DEBY120,Nürnberg/Von-der-Tann-Straße,städtisches Gebiet,Verkehr,Nürnberg,2021,33
DEBY121,Oberaudorf/Inntal-Autobahn,ländlich stadtnah,Verkehr,Oberaudorf,2021,20
DEBY198,Ingolstadt/Münchener Str.,städtisches Gebiet,Verkehr,Ingolstadt,2021,kein Wert verfügbar
DEBY200,Passau/Angerstr.,städtisches Gebiet,Verkehr,Passau,2021,29
DEHB006,Bremen-Dobben,städtisches Gebiet,Verkehr,Bremen,2021,30
DEHB011,Bremerhaven-Cherbourger Straße,städtisches Gebiet,Verkehr,Bremerhaven,2021,31
DEHB014,Bremen-Nordstraße,städtisches Gebiet,Verkehr,Bremen,2021,kein Wert verfügbar
DEHE037,Wiesbaden Ringkirche,städtisches Gebiet,Verkehr,Wiesbaden,2021,33
DEHE040,Darmstadt Hügelstraße,städtisches Gebiet,Verkehr,Darmstadt,2021,27
DEHE041,Frankfurt Friedberger Landstraße,städtisches Gebiet,Verkehr,Frankfurt am Main,2021,31
DEHE049,Kassel Fünffensterstraße,städtisches Gebiet,Verkehr,Kassel,2021,30
DEHE059,Fulda Petersberger Straße,städtisches Gebiet,Verkehr,Fulda,2021,28
DEHE061,Gießen Westanlage,städtisches Gebiet,Verkehr,Gießen,2021,32
DEHE062,Marburg Universitätsstraße,städtisches Gebiet,Verkehr,Marburg,2021,25
DEHE063,Heppenheim Lehrstraße,städtisches Gebiet,Verkehr,Heppenheim (Bergstraße),2021,23
DEHE098,Limburg Diezer Straße,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2021,26
DEHE099,Limburg Schiede I,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2021,40
DEHE100,Limburg Schiede II,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2021,29
DEHE101,Limburg Frankfurter Straße,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2021,34
DEHE102,Offenbach Untere Grenzstraße I,städtisches Gebiet,Verkehr,Offenbach am Main,2021,36
DEHE103,Offenbach Bieberer Straße,städtisches Gebiet,Verkehr,Offenbach am Main,2021,30
DEHE104,Offenbach Mainstraße,städtisches Gebiet,Verkehr,Offenbach am Main,2021,36
DEHE111,Rüsselsheim Rugby-Ring,städtisches Gebiet,Verkehr,Rüsselsheim am Main,2021,30
DEHE112,Wiesbaden Schiersteiner Straße,städtisches Gebiet,Verkehr,Wiesbaden,2021,35
DEHE116,Offenbach Untere Grenzstraße,städtisches Gebiet,Verkehr,Offenbach am Main,2021,28
DEHE131,Limburg Schiede,städtisches Gebiet,Verkehr,Limburg a.d. Lahn,2021,33
DEHE132,Darmstadt Hügelstraße I,städtisches Gebiet,Verkehr,Darmstadt,2021,40
DEHE133,Bensheim Nibelungenstraße,städtisches Gebiet,Verkehr,Bensheim,2021,31
DEHE136,Frankfurt Battonnstraße (ehemals Frankfurt Börneplatz),städtisches Gebiet,Verkehr,Frankfurt am Main,2021,36
DEHE138,Darmstadt Heinrichstraße II,städtisches Gebiet,Verkehr,Darmstadt,2021,29
DEHE139,Frankfurt Am Erlenbruch I,städtisches Gebiet,Verkehr,Frankfurt am Main,2021,35
DEHE140,Frankfurt Am Erlenbruch II,städtisches Gebiet,Verkehr,Frankfurt am Main,2021,34
DEHE142,Marburg Universitätsstraße I,städtisches Gebiet,Verkehr,Marburg,2021,29
